"","id","Station","Divisions","Region","Total_MAH","Total_DN","Total_kidnap","Total_REHi","Total_Burglary","Total_Theft","Total_Fraud","Total_Drug","Total_weapon","Total_PDE","Total_poSo","Total_AgainstGVT","Total_crime","crime_rate"
"189",20352,"Clonakilty","cork westdivision",NA,446,303,2,4,234,908,92,347,36,637,1919,148,10152,0.153
"190",20528,"Clonark","roscommon/longforddivision",NA,29,74,0,5,140,234,8,5,2,96,63,16,1344,0.02
"191",20116,"Clonaslee","laois/offalydivision",NA,37,35,0,1,98,123,5,11,7,119,48,6,980,0.015
"192",20136,"Clonbologue","laois/offalydivision",NA,41,14,0,3,131,154,5,16,3,86,27,8,976,0.015
"193",2012,"Clondalkin","d.m.r. westerndivision",NA,1419,1614,16,651,3951,12528,787,2685,625,6789,4255,895,72430,1.09
"194",20663,"Clones","cavan/monaghandivision",NA,365,309,0,4,124,428,52,54,24,323,386,41,4220,0.064
"195",20631,"Clonmany","donegaldivision",NA,165,80,0,0,36,100,11,12,11,222,236,14,1774,0.027
"196",20251,"Clonmel","tipperarydivision",NA,1165,1108,13,101,1370,3794,232,1943,368,2232,4101,409,33672,0.507
"197",20191,"Clonroche","wexforddivision",NA,81,60,1,1,238,347,31,50,9,172,72,14,2152,0.032
"198",2027,"Clontarf","d.m.r. northerndivision",NA,949,919,4,614,3866,9441,473,1018,237,4393,2810,271,49990,0.752
"199",20267,"Cloughjordan","tipperarydivision",NA,16,9,0,1,60,80,1,19,4,52,97,1,680,0.01
"200",20329,"Cloyne","cork northdivision",NA,32,81,0,2,87,157,2,71,4,84,104,10,1268,0.019
"201",20363,"Coachford","cork westdivision",NA,85,103,0,1,96,173,11,102,8,76,106,10,1542,0.023
"202",20306,"Cobh","cork northdivision",NA,749,446,14,17,247,1236,108,556,54,1264,3293,155,16278,0.245
"203",2080,"Collon","louthdivision",NA,47,44,2,3,194,323,11,12,3,124,44,5,1624,0.024
"204",20593,"Collooney","sligo/leitrimdivision",NA,125,196,1,7,181,364,45,83,14,281,225,34,3112,0.047
"205",20577,"Cong","mayodivision",NA,40,48,0,0,48,164,3,16,2,83,56,2,924,0.014
"206",20627,"Convoy","donegaldivision",NA,270,137,3,6,187,336,30,59,21,357,248,18,3344,0.05
"207",20595,"Coolaney","sligo/leitrimdivision",NA,40,26,0,1,37,94,5,29,3,76,47,10,736,0.011
"208",2023,"Coolock","d.m.r. northerndivision",NA,1597,1725,17,804,3630,11911,531,5861,950,7193,5484,1267,81940,1.233
"209",20688,"Cootehill","cavan/monaghandivision",NA,414,274,1,9,357,575,83,129,43,418,1132,73,7016,0.106
"210",20470,"Corofin","claredivision",NA,47,49,0,1,104,132,5,42,2,74,59,15,1060,0.016
